"Kategorie","Datensatz","Beschreibung","Link","offen"
"Bildung, Kultur und Sport","Kinderpflege","Einrichtungen, Standorte, Öffnungszeiten, Alter von Kindern und freie Betreuungsplätze von Kindertagesstätten sowie Daten zu Kindertagespflegestellen","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_kita@senstadt&bbox=366211,5802225,419758,5835276'>fbinter.stadt-berlin.de</a>","Ja"
"Regierung und öffentlicher Sektor","Politische Mandatare","Liste von allen aktuellen politischen Mandataren mit Name, Partei, Alter, Geschlecht, Beruf, usw.","","Nein"
"Verkehr","Baustellen","Termine für Baubeginn und Bauende für akutelle und geplante Vorhaben, sowie Geodaten zu den Standorten/Strecken der Baustellen","<a target='_blank' href='https://viz.berlin.de/verkehr-in-berlin/baustellen-und-sperrungen/'>viz.berlin.de</a>","Ja"
"Wirtschaft und Finanzen","Landesgrundbesitz (Vermögen)","Daten, möglichst georeferenziert, zu allen Grundstücke die Berlin gehören","<a target='_blank' href='https://www.berlin.de/sen/finanzen/vermoegen/liegenschaften/artikel.702616.php'>berlin.de</a>","Ja"
"Gesundheit","Apotheken","Standorte aller Apotheken","<a target='_blank' href='https://www.akberlin.de/apothekenfinder.html'>akberlin.de</a>","Ja"
"Gesundheit","Krankenhäuser","Standorte aller Krankenhäuser, inklusive Angaben zu Fachabteilungen","<a target='_blank' href='https://www.kliniken.de/krankenhaus/deutschland/ort/berlin'>kliniken.de</a>","Ja"
"Stadtraum","Freie WLAN-Hotspots","Standorte von öffentlichen WLAN-Hotspots im gesamten Stadtgebiet","<a target='_blank' href='https://www.berlin.de/wlan/4445570-4236202-standorte-der-wlanhotspots-in-berlin.html'>berlin.de</a>","Ja"
"Gesundheit","Defibrillatoren","Standorte von Defibrillatoren","<a target='_blank' href='https://www.berlin-schockt.de/defi-standorte/karte/'>berlin-schockt.de</a>","Ja"
"Regierung und öffentlicher Sektor","Wartezeiten Ämter","Informationen zu den Wartezeiten und der Anzahl der wartenden Personen nach Ämtern.","","Nein"
"Wirtschaft und Finanzen","Bürgerhaushalt","Vorschläge für Haushaltsplanung von den Bürgern sowie tatsächliche Umsetzungen","<a target='_blank' href='https://service.berlin.de/buergerhaushalt/'>service.berlin.de</a>","Ja"
"Justiz, Rechtssystem und öffentliche Sicherheit","Bußgelder (Verkehr)","Verwarn- und Bußgelder fließender und stehender Verkehr (statistische Zusammenfassung)","","Nein"
"Justiz, Rechtssystem und öffentliche Sicherheit","Flugverbotszonen","Flächen von Flugverbotszonen, wo z.B. das Fliegen von Drohnen nicht erlaubt ist","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_luftverkehr@senstadt&bbox=366756,5802580,419206,5834953'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtentwicklung und Wohnen","Wohnungseigentum","Historische Daten zu Anzahl von Mietwohnungen und Eigentumswohnungen, aufgeschlüsselt nach Bezirk oder spezifischer","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/zensus/gdb/gwz/be/11_Berlin_gwz.pdf'>statistik-berlin-brandenburg.de</a>","Ja"
"Wirtschaft und Finanzen","Gaststättengewerbe","Standorte und Namen von Gaststätten mit Konzessionen","","Nein"
"Wirtschaft und Finanzen","Gewerbemeldungen","Auflistung der Gewerbemeldungen (Anmeldung, Abmeldung, Ummeldung, Sonstige Änderung) ","","Nein"
"Wirtschaft und Finanzen","Außerplanmäßige Aufwendungen","Außerplanmäßige Aufwendungen aus dem Berliner Haushalt mit Zweck und Höhe des Betrags.","","Nein"
"Stadtentwicklung und Wohnen","Leerstehende Gebäude","Standorte von Gebäuden, die aktuell leer stehen und nicht benutzt werden","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=wmsk_alkis@senstadt&bbox=389126,5819168,390835,5820223'>fbinter.stadt-berlin.de (unter Attribut ""Zustand"")</a>","Ja"
"Gesundheit","Ärzte","Liste von Arzt*innen in der Stadt, mit Angaben zur Fachrichtung und zum Standort","","Nein"
"Stadtentwicklung und Wohnen","Gesellschaften Wohnungsbau","Auflistung der verschiedenen staatlich geförderten Wohnungsbaugesellschaften und ihren Besitzen","","Nein"
"Bevölkerung und Gesellschaft","Anzahl Obdachlose","Anzahl von Menschen, die im öffentlichen Raum, im Freien oder in Notunterkünften übernachten","<a target='_blank' href='https://www.berlin.de/sen/ias/presse/downloads/'>berlin.de</a>","Ja"
"Bildung, Kultur und Sport","Internetanbindung von Schulen","Die Bandbreitenübersicht für Schulen soll einen Überblick über die Internetanbindung der öffentlichen Schulen ermöglichen","","Nein"
"Verkehr","Leihfahrräder","Echtzeitdaten der Standorte aller Leihfahrräder","","Nein"
"Verkehr","Parkhausbelegung (Echtzeit)","Parkplatz-API in Echtzeit mit Ausgabe der Parkplatzbelegung in den Parkhäuser ","","Nein"
