page,count
liste-der-häufigen-vornamen-2016,8942.0
covid-19-berlin-verteilung-den-bezirken-gesamtübersicht,8387.0
liste-der-häufigen-vornamen-2018,7850.0
openstreetmap-daten-für-berlin,7625.0
vbb-fahrplandaten-gtfs,6944.0
covid-19-berlin-verteilung-den-bezirken,6213.0
alkis-berlin-amtliches-liegenschaftskatasterinformationssystem,6081.0
liste-der-häufigen-vornamen-2019,5965.0
covid-19-fälle-im-land-berlin-verteilung-nach-altersgruppen,5157.0
vbb-fahrplan-2013,4151.0
