,Kennung,Name,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
217,06020305,Gemeindepark Lankwitz,5.1,5.32,5.34,4.62,4.07,4.12,4.89,5.2,4.54,5.64,5.78,6.12,6.25
218,06020306,Lankwitz-Süd,2.57,2.53,2.7,1.69,2.12,2.4,2.56,2.44,2.02,2.44,2.81,3.11,2.85
219,06020407,Thermometersiedlung,5.75,5.69,5.94,5.42,4.36,4.84,5.63,6.83,6.98,7.66,7.34,8.04,8.15
220,06020408,Lichterfelde-Süd,4.13,4.16,3.65,3.17,2.94,3.19,3.48,4.11,3.82,4.73,5.07,5.08,4.9
221,06020409,Königsberger Str.,1.61,1.5,1.57,1.16,1.41,1.59,2.34,2.25,1.86,2.68,2.54,2.6,2.63
222,06020410,Oberhofer Platz,2.32,2.38,2.29,1.92,1.81,1.91,2.24,2.18,1.97,2.04,2.36,2.05,1.83
223,06020411,Schütte-Lanz-Str.,2.14,2.65,2.57,2.47,2.06,2.13,2.06,2.09,1.81,2.29,2.24,2.49,2.51
224,06030501,Berlepschstr.,null,0.43,0.66,0.65,0.69,0.76,0.82,1.1,1.32,1.27,1.2,1.42,1.59
225,06030502,Zehlendorf-Süd,3.38,3.4,3.79,2.9,2.84,2.63,3.44,4.19,3.37,4.85,5.13,5.35,4.9
226,06030503,Zehlendorf-Mitte,2.8,2.78,2.85,2.01,2.43,2.6,2.9,3.25,2.56,3.22,3.17,3.2,3.16
227,06030504,Teltower Damm,1.06,1.17,1.09,1.02,1.01,1.07,1.05,1.21,0.99,1.12,1.38,1.3,1.22
228,06030605,Botanischer Garten,2.3,2.34,2.46,1.69,1.8,1.66,2.21,2.27,1.86,2.13,2.48,2.67,2.7
229,06030606,Hindenburgdamm,2.33,2.61,3.02,2.54,2.8,2.86,3.05,3.08,2.61,3.11,3.2,3.52,3.6
230,06030607,Goerzwerke,1.09,1.22,0.84,0.83,1.3,1.28,1.74,2.2,1.85,2.44,2.58,3.25,2.61
231,06030608,Schweizer Viertel,1.27,1.22,1.34,1.23,1.15,1.28,1.36,1.29,1.08,1.35,1.4,1.73,1.65
232,06030609,Augustaplatz,1.71,1.69,1.7,1.14,1.41,1.28,1.79,2.09,1.47,2.11,2.08,2.3,2.31
233,06030610,Lichterfelde-West,1.69,1.83,1.6,1.25,1.02,1.13,1.28,1.21,1.26,1.59,1.68,1.89,2.03
234,06040701,Wannsee,1.33,1.38,1.12,1.29,1.4,1.41,1.53,1.41,1.39,1.25,1.34,1.41,1.47
235,06040702,Düppel,0.85,1.13,1.5,1.69,1.48,1.8,2.17,2.72,2.46,2.14,2.38,2.82,2.89
236,06040703,Nikolassee,1.21,1.44,1.54,1.23,1.27,1.38,1.61,1.76,1.54,2.29,2.16,1.98,2.0
237,06040804,Krumme Lanke,1.07,1.08,1.13,1.07,1.24,1.21,1.0,0.81,0.84,1.09,1.36,1.48,1.47
238,06040805,Fischerhüttenstr.,1.34,1.37,1.45,1.26,1.51,1.43,1.45,1.69,1.39,2.01,2.01,2.0,2.07
239,06040806,Fischtal,2.06,2.06,2.05,1.17,1.16,1.32,1.45,1.49,1.37,1.85,1.96,1.86,2.26
240,06040807,Zehlendorf-Eiche,1.64,1.39,1.24,1.24,1.45,1.66,1.95,2.09,2.11,2.41,2.55,2.19,2.08
241,06040808,Hüttenweg,1.37,null,1.13,1.23,1.39,null,0.86,1.23,1.73,1.45,1.94,2.74,2.88
242,06040809,Thielallee,1.35,1.36,1.2,0.99,0.78,1.2,1.09,1.07,1.29,1.35,1.27,1.24,1.38
243,06040810,Dahlem,0.56,0.83,0.75,0.73,0.49,0.43,0.88,0.66,0.79,0.94,0.92,0.92,1.02
244,07010101,Wittenbergpl./Vikt.-Luise-Pl.,6.88,7.34,7.92,7.75,8.91,8.98,9.74,10.5,10.75,11.44,11.11,11.49,11.79
245,07010102,Nollendorfplatz,15.96,16.87,17.56,18.44,18.73,20.23,20.79,20.14,19.63,21.06,20.95,21.2,20.15
246,07010103,Barbarossaplatz,5.54,6.26,5.99,6.13,6.55,6.71,7.26,8.29,8.43,8.75,8.3,8.31,8.64
247,07010104,Dennewitzplatz,21.95,22.34,22.66,21.57,22.05,22.44,25.03,26.06,26.46,26.91,26.63,26.56,26.06
248,07020201,Bayerischer Platz,4.67,4.77,5.02,4.77,5.2,6.03,6.19,5.93,6.0,5.8,5.82,5.65,5.85
